[2026-05-29 16:25:39,527] [INFO] crawler: [CACHE HIT] https://apigateway.okala.com/api/unicorn/v2/products/store/2319?pC_Id=1474&slug=baby-mother-care
[2026-05-29 16:25:39,554] [INFO] crawler: [CACHE HIT] https://apigateway.okala.com/api/unicorn/v2/products/store/2319?pC_Id=1470&slug=fruits-vegetables
[2026-05-29 16:25:39,582] [INFO] crawler: [CACHE HIT] https://apigateway.okala.com/api/unicorn/v2/products/store/2319?pC_Id=1468&slug=nuts-sweets
[2026-05-29 16:25:39,618] [INFO] crawler: [CACHE HIT] https://apigateway.okala.com/api/unicorn/v2/products/store/2319?pC_Id=1850&slug=multiples
[2026-05-29 16:25:39,619] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1467&slug=kalabarg
[2026-05-29 16:25:40,163] [INFO] crawler: [CACHE HIT] https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1467&slug=refreshments
[2026-05-29 16:25:40,164] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1462&slug=dairy-products
[2026-05-29 16:25:40,279] [INFO] crawler: [CACHE HIT] https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1461&slug=groceries
[2026-05-29 16:25:40,280] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1471&slug=home-hygiene
[2026-05-29 16:25:40,404] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1465&slug=beverages
[2026-05-29 16:25:40,544] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1469&slug=spices
[2026-05-29 16:25:40,724] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1464&slug=canned-ready-food
[2026-05-29 16:25:40,883] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1472&slug=cosmetics-hygiene
[2026-05-29 16:25:41,058] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1463&slug=proteins
[2026-05-29 16:25:41,166] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1466&slug=breakfast-goods
[2026-05-29 16:25:41,285] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1473&slug=home-stuff
[2026-05-29 16:25:41,432] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1474&slug=baby-mother-care
[2026-05-29 16:25:41,544] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1470&slug=fruits-vegetables
[2026-05-29 16:25:41,810] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1468&slug=nuts-sweets
[2026-05-29 16:25:41,943] [INFO] http-client: GET https://apigateway.okala.com/api/unicorn/v2/products/store/10458?pC_Id=1850&slug=multiples
